RC1_25,RC2_25,R1_25,R2_25,C1_25,C2_25,RC1_50,RC2_50,R1_50,R2_50,C1_50,C2_50,RC1_100,RC2_100,R1_100,R2_100,C1_100,C2_100,id,notes
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37,
510.8910572444255,1372.2572582946027,639.6153025655707,1120.6859239186417,1126.1428021939544,1247.6953823235467,1045.4997226084506,2530.068091853851,1116.1462804887692,2283.250544840085,2382.989359439855,2485.5733829137903,2089.799225185167,4746.919743810855,1935.7324064727154,4447.2211833954225,5283.634659590854,5610.383417074269,46,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48,
509.3515869265585,871.9413904064637,617.9703851070396,933.5670129800423,868.9810559150723,1274.2955825138156,1004.6505877711469,1819.820775748697,1047.2321201759216,1786.9786973390774,1900.0069385719735,2679.372921797431,1963.0273949586067,3922.6136312899503,1757.3297495009192,3437.142468039859,4511.886761627484,5942.81157341777,49,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54,
530.3187796718444,629.5282928891738,566.6339592584357,632.4228362166695,550.1139841062242,844.2471046585147,1011.5772657124566,1135.9321598760766,1005.7664493699125,1136.4723852859934,1082.4016613883296,1822.3528639924039,1925.5474639770828,2273.945128453605,1655.0337827083015,2030.5795369018151,2706.730674824228,4107.042695801986,65,
530.3187796718444,629.5282928891738,566.6339592584357,632.4228362166695,550.1139841062242,844.2471046585147,1011.5772657124566,1135.9321598760766,1005.7664493699125,1136.4723852859934,1082.4016613883296,1822.3528639924039,1925.5474639770828,2273.945128453605,1655.0337827083015,2030.5795369018151,2706.730674824228,4107.042695801986,66,
505.1494818382758,617.942424303126,556.5406983818542,657.042220606808,545.8497977132213,794.587290948259,1007.7923488516067,1203.4123460700084,0.0,1190.9550262735277,1082.7463915735714,1468.2501372085692,0.0,2332.939481525918,1672.996072985644,2094.4131432989157,2870.6865050903752,3609.2168293099444,89,
1886.6570290320383,1824.4141346422798,1246.160180248078,1246.160180248078,1127.7049623049186,1275.0360041685808,4059.8379971766662,3720.0945451063562,2624.7518802950067,2609.2711382928674,2385.069038275879,2679.372921797431,6617.543024672586,6142.574582372958,4989.4226212577205,4750.537415295064,5759.268705597214,5942.81157341777,67,
