id,notes,random_random,cluster_random,random_centre,cluster_centre,random_edge,cluster_edge,random_30,cluster_30,random_50,cluster_50,random_90,cluster_90
1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,,38.82070734864759,37.95484919918093,30.172626475752786,28.532454629342077,46.68145903338429,44.795721330683534,23.07152340336656,21.083412814463948,34.82907201257254,32.43537434378706,57.77419744184549,57.76423800095564
4,greedy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,beam,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,,39.1426470287996,38.09650123675163,30.499728236247343,28.689946485148248,47.062404475328194,44.98839867297182,23.511868345171912,21.329722257614435,35.16635342423362,32.5360042951423,58.02655797096954,57.90911984211503
6,,39.22094978344228,38.21773386586236,30.43248109488038,28.793674222500226,47.35027892825133,45.302254663560355,24.19315914614824,21.733314815027036,34.8472039283298,32.31850926441064,57.96334673209597,58.26183867248521
7,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,greedy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,beam,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,greedy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,beam,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,greedy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,beam,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,greedy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,beam,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,greedy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,beam,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,greedy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,beam,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,greedy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,beam,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,greedy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,beam,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,,41.93633328218903,41.93395678022741,33.55334359260262,33.28328271415358,49.897252990745514,48.702894007583716,24.539878322114664,23.2229310873978,37.08673908091454,35.453268845083834,63.76031246250808,65.24393356948305
36,,45.09766350846702,45.08993656678717,35.62632918893096,33.628481765050516,54.37574876501244,53.80665934403838,28.784784799076498,27.940691876498313,40.883601176112464,39.3691809403396,65.4313554872215,65.21520485903804
39,greedy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,beam,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,greedy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,beam,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,,44.305389540114405,43.71822629794253,35.05325064043549,33.37585743026977,53.07147780450037,51.408317208732306,26.855341335374646,24.864550142948072,39.86656063565358,37.480827501031335,65.70821601402209,66.15702329296509
43,,44.305389540114405,43.71822629794253,35.05325064043549,33.37585743026977,53.07147780450037,51.408317208732306,26.855341335374646,24.864550142948072,39.86656063565358,37.480827501031335,65.70821601402209,66.15702329296509
47,,41.93633328218903,41.93395678022741,33.55334359260262,33.28328271415358,49.897252990745514,48.702894007583716,24.539878322114664,23.2229310873978,37.08673908091454,35.453268845083834,63.76031246250808,65.24393356948305
50,,44.305389540114405,43.71822629794253,35.05325064043549,33.37585743026977,53.07147780450037,51.408317208732306,26.855341335374646,24.864550142948072,39.86656063565358,37.480827501031335,65.70821601402209,66.15702329296509
57,,41.93633328218903,41.93395678022741,33.55334359260262,33.28328271415358,49.897252990745514,48.702894007583716,24.539878322114664,23.2229310873978,37.08673908091454,35.453268845083834,63.76031246250808,65.24393356948305
58,,39.45329888972954,38.96364466464143,30.688412577887416,29.167501776881497,47.780317656256535,46.23024726962354,23.87853053743902,21.571768397418786,34.73794836219231,32.70266181075876,59.305550224242154,60.0869635029689
59,,45.09766350846702,45.08993656678717,35.62632918893096,33.628481765050516,54.37574876501244,53.80665934403838,28.784784799076498,27.940691876498313,40.883601176112464,39.3691809403396,65.4313554872215,65.21520485903804
61,,44.305389540114405,43.71822629794253,35.05325064043549,33.37585743026977,53.07147780450037,51.408317208732306,26.855341335374646,24.864550142948072,39.86656063565358,37.480827501031335,65.70821601402209,66.15702329296509
64,,51.52006427679312,48.586000073546906,48.41205300277587,40.14262571243874,59.08549456032466,0.0,33.63400350800891,0.0,49.44154044831467,0.0,75.94206788357005,0.0
68,,45.09766350846702,45.08993656678717,35.62632918893096,33.628481765050516,54.37574876501244,53.80665934403838,28.784784799076498,27.940691876498313,40.883601176112464,39.3691809403396,65.4313554872215,65.21520485903804
70,,44.305389540114405,43.71822629794253,35.05325064043549,33.37585743026977,53.07147780450037,51.408317208732306,26.855341335374646,24.864550142948072,39.86656063565358,37.480827501031335,65.70821601402209,66.15702329296509
45,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
63,,104.62616102423247,107.24801590604243,76.40128134750411,77.83477868148651,130.36236304176597,129.66543849684626,103.09601737495281,103.20790721572922,104.72577106816695,104.08848159474225,103.56801697038281,107.45184427390386
71,,51.22948359109695,48.505494134858566,48.61771906107905,40.44421769365199,58.80010500939009,0.0,32.990208514661326,0.0,49.593303265315086,0.0,76.06379588158981,0.0
74,,42.37715969480953,41.662756827753235,33.56425520794938,32.34730599504848,50.540293175409886,48.92655396126126,26.096858498461952,24.155613903804255,37.861322647345766,35.670096591579316,62.52352693236108,63.11090628867939
76,,48.619868455570916,49.62536413456157,38.11577688865129,37.54121491439063,58.99526114227528,58.500809781707964,31.090062262862897,31.24410164004887,44.47686625254831,43.452186213779434,70.16397797108621,70.97110097683186
78,,41.648736550811726,40.99171981186047,33.04221750525346,31.113514760270785,49.8232690168604,48.217594421726375,25.39596563890365,23.26159788242613,37.56217797856052,35.01294827752124,61.556079455461344,62.04828283391022
77,,44.38792323627373,43.64458323462558,35.28986161488989,33.089631000643884,53.145118903115396,51.569729769860544,27.995228924429522,25.766912117378055,39.94279880786532,37.363730057743254,64.88487602198411,65.17330183000873
80,,44.51766694931012,43.549781738058186,35.03745327713595,33.26190541981676,53.09804283793642,51.08162120897154,28.668342057947168,26.007634951038817,39.76342385571531,37.41376203270809,64.22139715072005,64.47191138309962
81,,104.62616102423247,107.24801590604243,76.40128134750411,77.83477868148651,130.36236304176597,129.66543849684626,103.09601737495281,103.20790721572922,104.72577106816695,104.08848159474225,103.56801697038281,107.45184427390386
