id,notes,cust_random,cust_clustered,depot_random,depot_centre,depot_edge,cust_10,cust_20,cust_50,cust_100,demand_30,demand_50,demand_90
58,,18.882875126858554,17.693525408676084,18.372208320033213,14.256183277268292,22.2362092060005,5.052157396376471,8.990275811559002,20.396464057297162,38.71390380583674,11.28383058520858,16.10997226427543,27.470797953818032
59,,21.139440238094142,20.19865561148468,20.745725809432802,16.05735040828803,25.204067556647228,5.494685313919615,9.785418318537692,22.79195154365253,44.6041365230478,13.45264837834795,18.688701851839596,29.865793544180562
61,,20.676828971047037,19.498530634470715,20.190492424921924,15.79012347797765,24.282423505377036,5.462827866433627,9.4266048058649,21.972533385071262,43.48875315366577,12.407118378611939,17.964580001229955,29.891341028434734
64,,24.45703311703358,0.0,22.75234050381319,19.980066287680597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,,21.139440238094142,20.19865561148468,20.745725809432802,16.05735040828803,25.204067556647228,5.494685313919615,9.785418318537692,22.79195154365253,44.6041365230478,13.45264837834795,18.688701851839596,29.865793544180562
70,,20.676828971047037,19.498530634470715,20.190492424921924,15.79012347797765,24.282423505377036,5.462827866433627,9.4266048058649,21.972533385071262,43.48875315366577,12.407118378611939,17.964580001229955,29.891341028434734
45,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
63,,46.58403738109056,47.27979809178303,47.313919338472324,34.66549842776779,58.816335443070116,10.474969843191106,20.726783558393368,52.16957779451576,104.35633974964625,46.71933871947298,46.998951637795116,47.077462852041975
71,,24.274332037998658,0.0,22.593854986917876,19.97313210755705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,,19.761713435123507,18.626752840154694,19.27478777309534,15.210124371258283,23.09778726856365,5.045388572794627,9.039922338316263,21.12190082907361,41.56972081037197,11.909783165663603,17.078266447568197,28.59464979968552
76,,22.2954399697911,21.48901123038508,21.99646208029252,16.999899980892547,26.680314739079293,5.412409814857711,9.869983991903737,23.720126040731476,48.56638255285959,14.47196697027239,19.805482619224406,31.399227210767513
78,,19.555154410964956,18.35878394647149,19.042299303202547,14.970152177696288,22.858456055255797,5.029628195932953,9.036290137440979,20.955783037035157,40.806175344463895,11.685100993414785,16.95069419586953,28.235112346870306
77,,20.682334104906847,19.368457721557494,20.10234027637,15.769592778543668,24.204254684782917,5.204548493099751,9.360346142519534,22.01554772407461,43.521141293234855,12.678053708253307,17.863630038926594,29.534503992516616
80,,20.4858299910154,19.151091699314033,19.941880326852786,15.65360256215005,23.859899646491243,5.042903892697932,9.12782208419051,21.678705498565478,43.42441190520497,12.620527853908955,17.708324379938563,29.126530301646653
81,,46.58403738109056,47.27979809178303,47.313919338472324,34.66549842776779,58.816335443070116,10.474969843191106,20.726783558393368,52.16957779451576,104.35633974964625,46.71933871947298,46.998951637795116,47.077462852041975
79,,19.212096857231703,18.191352214865635,18.802561118234685,14.644414118068344,22.658198371843053,5.186642209656825,9.055827142881038,20.682637016093103,39.8817917755637,11.299208687888989,16.67183477208284,28.134130148174215
84,,19.670783451612962,18.461902187314593,19.17108487484149,15.029381406023157,22.998562177526846,5.020484803099239,9.039188149933137,21.089786334633846,41.11591199018904,11.991218806984863,17.061721289012667,28.146088362394007
85,,21.207367348712097,20.39004422026513,20.857949085936536,15.97420666829152,25.563961599237647,5.518983892442046,9.826365261971047,22.75609319907869,45.09338078446256,13.581597593191132,18.82389005839982,29.99062970187483
87,,20.445969353860168,19.341861625662037,19.946255013063066,15.67104393380854,24.06444752241172,5.562112031005168,9.445994602440063,21.74332105045071,42.82423427514857,12.37652039806506,17.84198685211714,29.463239219101155
91,,20.7624320658621,19.436921909400084,20.200280708701364,15.888153420920911,24.21059683327107,5.224279148419219,9.425098788824108,22.212298951079603,43.5370310622016,12.722140385488178,18.004949241323143,29.57194133608198
94,,18.401572609134725,17.17129039485469,17.898271812698507,13.902483669681969,21.5585390236037,4.8589877674522155,8.665055752262827,19.795379485431926,37.826303002831914,10.757482049374026,15.923402454937204,26.678410001672944
92,,20.68726693394782,19.369638436045925,20.161096705795185,15.743345329283793,24.18091601991171,5.257514078445241,9.428605217098301,22.104060989939786,43.323630454504155,12.649236308226447,17.862946600749808,29.573175146014353
90,,19.882113360130255,18.978485322526524,19.55846299438458,15.197296749520323,23.535138280080346,5.860041531842125,9.77459811649091,21.41222130880603,40.67433640817464,11.589538210163465,17.170299549060037,29.53106026476177
97,,21.14980882723046,20.57713908863075,20.97652580738022,16.117316254437373,25.496579811974318,6.495399374216839,10.70875475271222,22.59865161756199,43.6510900872315,13.40430102003912,18.884082731952113,30.30203812180069
98,,20.13970140397645,18.933393699108734,19.640184198737128,15.384461425387057,23.584997030503747,5.529020941212577,9.07073819843458,21.1775868066312,42.36884425989213,11.78017783164466,17.511255191047976,29.318209631935307
99,,21.720113207018258,20.259701204669227,21.120573532261083,16.828032160797072,25.021115924472934,5.555980229862981,9.965047660716039,23.363796817592256,45.07480411520354,13.184640833897872,18.953735824743134,30.83134495889014
100,,19.712833231220017,18.834939236810634,19.33959816601037,15.450901657539843,23.031158878495784,5.201329306594497,9.14358851059034,21.19944989095952,41.551177227916966,11.497352623426728,16.96030565561201,29.36400042300727
101,,21.139440238094142,20.19865561148468,20.745725809432802,16.05735040828803,25.204067556647228,5.494685313919615,9.785418318537692,22.79195154365253,44.6041365230478,13.45264837834795,18.688701851839596,29.865793544180562
102,,20.676828971047037,19.498530634470715,20.190492424921924,15.79012347797765,24.282423505377036,5.462827866433627,9.4266048058649,21.972533385071262,43.48875315366577,12.407118378611939,17.964580001229955,29.891341028434734
103,,20.28336421965482,19.02003451092988,19.750023438312834,15.585228542669896,23.619846114894347,5.256070342397685,9.088469838523677,21.396249788345937,42.866007491902224,11.927337127044535,17.569095438601295,29.458665530231336
104,,24.003154102222535,0.0,22.35657162341593,19.63751027282756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,OR tools best,18.02309015594978,16.90273966545517,17.554198375280347,13.601461437026224,21.233084919800827,4.7988809834703705,8.501446100837764,19.413424383021965,37.13790817547984,10.35565103362957,15.533869266654222,26.49922443182367
