id,notes,random_random,cluster_random,random_centre,cluster_centre,random_edge,cluster_edge,random_30,cluster_30,random_50,cluster_50,random_90,cluster_90
1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,,9.234417651382959,8.116425222584011,7.495670405805486,6.306700634534494,11.059831564474816,9.777289034795196,6.184165021650071,4.978951560150866,8.476209768152804,7.4286531708766494,13.129544831860366,11.792810160886173
4,greedy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,beam,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,,9.22844191187423,8.139702909641779,7.542568774450519,6.314509161980493,11.082287161084304,9.820031269287133,6.204861351476989,5.000934075546057,8.49207030332856,7.435103569774892,13.156366192603503,11.838205695588458
6,,9.251111861216211,8.105923652050976,7.624903567942755,6.334698281127243,11.078502889473363,9.757227910504135,6.2700820416573295,4.981388645002431,8.534306361578837,7.413861377298917,13.15012991539614,11.802599821381007
7,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,greedy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,beam,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,greedy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,beam,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,greedy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,beam,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,greedy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,beam,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,greedy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,beam,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,greedy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,beam,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,greedy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,beam,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,greedy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,beam,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,,9.653697957127143,8.629518033784851,7.944576343187307,6.734943396353566,11.55175257247201,10.34704276061713,6.380259906254002,5.278661812561984,8.732466596452301,7.826641870575304,14.037300370080162,12.606200507618263
36,,10.15308581717543,9.325687990963406,8.131985618708999,7.1115394955957525,12.443968666452443,11.546242322330205,7.102383060248088,6.212955624461,9.394854123237069,8.636626420433826,14.231802918851708,13.13388776399455
39,greedy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,beam,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,greedy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,beam,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,,9.977023132700245,8.934983748493277,7.970763155858152,6.919228435955814,11.981358364114605,10.77627199806739,6.7826599447690255,5.638151750626141,9.086154444299341,8.195592642845185,14.060330263604637,12.796739789045159
43,,9.977023132700245,8.934983748493277,7.970763155858152,6.919228435955814,11.981358364114605,10.77627199806739,6.7826599447690255,5.638151750626141,9.086154444299341,8.195592642845185,14.060330263604637,12.796739789045159
47,,9.653697957127143,8.629518033784851,7.944576343187307,6.734943396353566,11.55175257247201,10.34704276061713,6.380259906254002,5.278661812561984,8.732466596452301,7.826641870575304,14.037300370080162,12.606200507618263
50,,9.977023132700245,8.934983748493277,7.970763155858152,6.919228435955814,11.981358364114605,10.77627199806739,6.7826599447690255,5.638151750626141,9.086154444299341,8.195592642845185,14.060330263604637,12.796739789045159
57,,9.653697957127143,8.629518033784851,7.944576343187307,6.734943396353566,11.55175257247201,10.34704276061713,6.380259906254002,5.278661812561984,8.732466596452301,7.826641870575304,14.037300370080162,12.606200507618263
58,,9.587879562498783,8.4098706479093,7.8083152844076436,6.526218721125316,11.45824700021951,10.151123653193544,6.7895929373222295,5.3048133884545585,8.692300549092,7.660737097910446,13.3725483607117,12.121662535863162
59,,10.15308581717543,9.325687990963406,8.131985618708999,7.1115394955957525,12.443968666452443,11.546242322330205,7.102383060248088,6.212955624461,9.394854123237069,8.636626420433826,14.231802918851708,13.13388776399455
61,,9.977023132700245,8.934983748493277,7.970763155858152,6.919228435955814,11.981358364114605,10.77627199806739,6.7826599447690255,5.638151750626141,9.086154444299341,8.195592642845185,14.060330263604637,12.796739789045159
64,,11.264418321005321,9.672519822339376,10.288703797033516,7.655993813841822,13.018192295476497,0.0,8.170901539560443,0.0,10.812101316859145,0.0,15.588311557095743,0.0
68,,10.15308581717543,9.325687990963406,8.131985618708999,7.1115394955957525,12.443968666452443,11.546242322330205,7.102383060248088,6.212955624461,9.394854123237069,8.636626420433826,14.231802918851708,13.13388776399455
70,,9.977023132700245,8.934983748493277,7.970763155858152,6.919228435955814,11.981358364114605,10.77627199806739,6.7826599447690255,5.638151750626141,9.086154444299341,8.195592642845185,14.060330263604637,12.796739789045159
45,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
63,,20.42612298488025,21.218527816394786,15.16204805884362,15.592196232303419,26.067911806584824,25.893894451353535,20.4844882748954,21.12414665240881,20.624836576539035,21.50449540209779,20.546757998874252,20.07597644554514
71,,11.071710320264744,9.50513690835749,10.144491693750156,7.586634405576809,12.819712492799317,0.0,7.787468227707235,0.0,10.68707293950912,0.0,15.561373339597882,0.0
74,,9.576614210104804,8.514466085161484,7.808437835697509,6.608637793889849,11.480666896371975,10.250711208671856,6.484421403567503,5.283563100529411,8.722006699951589,7.7284580160437315,13.659290838655185,12.361793971150037
76,,10.318119853719965,9.419652977197481,8.285837805089699,7.1492820332897224,12.537691254130587,11.509320027994992,7.3479654120560935,6.335179542538055,9.527008384186042,8.724749553873313,14.266675116698115,13.018325942070817
78,,9.549678072248932,8.50639331504198,7.849631512099983,6.639742052901252,11.44360109441686,10.228694777936804,6.518538894965305,5.321073991500539,8.74726673645384,7.765266125647101,13.577105047346631,12.288490028732403
77,,9.922886342957032,8.805100680452217,8.063130455439733,6.8340765852519825,11.925079552203302,10.611803238812897,6.885718538685386,5.565667966868382,9.077388772033244,7.973946919368188,13.947989039881447,12.711365618280508
80,,9.667890811607746,8.609860928511148,7.9383002708963115,6.700114093135336,11.58219123854245,10.268575162450121,6.57859362639575,5.295545234197612,8.85202337715492,7.8304390506667865,13.757765317495831,12.452565899232205
81,,20.42612298488025,21.218527816394786,15.16204805884362,15.592196232303419,26.067911806584824,25.893894451353535,20.4844882748954,21.12414665240881,20.624836576539035,21.50449540209779,20.546757998874252,20.07597644554514
79,,9.571717813782746,8.580901391236852,7.785991056007853,6.654883536900862,11.453753522430913,10.287715536926985,6.380444873346531,5.312698214128778,8.714444730217652,7.760579484939178,13.716572788657338,12.450222765996747
84,,9.572207892453365,8.521403694742455,7.84624588129728,6.63118910834933,11.470962642719382,10.193119680036975,6.519986268997155,5.330239017717037,8.795713385281415,7.732134275230654,13.57371676219146,12.283339190181076
85,,10.128095092438818,9.359110173398049,8.109478534917612,7.122239320522308,12.49614706507074,11.743121385478787,7.12246401867506,6.272924134513094,9.364104139654415,8.698380638021144,14.24715253409767,13.253166106864915
87,,9.9260757988879,8.970004921478898,7.928937277006056,6.9211829841553705,12.072107782854971,10.857658850257176,6.785955839831494,5.736083141987901,9.047245402228414,8.229759893630833,14.093919616689014,12.783003720272697
