A,B,E,F,M,P,CMT,id,notes
0.0,0.0,0.0,0.0,0.043819419446324975,0.0,0.044355874882730316,1,
0.07409951023677247,0.061975704250171744,0.0960135641491766,0.1304781470508798,0.08173557013102077,0.0737554071691108,0.11779617200459636,2,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,greedy
0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,beam
0.09431356597675425,0.08736412165616046,0.10255240469651387,0.06265350793766085,0.16245532474937469,0.0654732967465784,0.18581646610805863,5,
0.1420418151614137,0.09738032842415645,0.09687201208614248,0.0871880018801897,0.3202696244410156,0.10257918994981675,0.23014937032412874,6,
0.008466361877450231,0.008374320170742279,0.0132786564930509,0.02585738305289498,0.04664497080739091,0.005955425142038121,0.04300350820005393,7,
0.06025963446699296,0.05293356856051604,0.0729780323612119,0.1106749541908302,0.08086655781648017,0.04595949847626118,0.09343185675807254,8,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,greedy
0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,beam
0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,greedy
0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,beam
0.07201658660253286,0.05544722410570514,0.09473226185732654,0.13179078163284713,0.08086655781648017,0.07024666513539156,0.11620221420865706,11,
0.09351516702258175,0.07170434930960086,0.10209300556560735,0.05004931803182953,0.16245532474937469,0.05950555155588854,0.17981990777010273,12,
0.006532648720655369,0.00497868305732223,0.011940921480024312,0.0011782523011246461,0.07535185249669354,0.004622427911482299,0.07809581457225603,13,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,greedy
0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,beam
0.07375588598138805,0.07102056288982136,0.07714677931128507,0.04781278062589929,0.1602622995886377,0.062305646676672904,0.15980103908142176,15,
0.008869395338583524,0.009778291800357622,0.011632834753978614,0.0024907821774356447,0.11207108288109423,0.006296318271507555,0.07423337406893563,17,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,greedy
0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,beam
0.10011335046925603,0.08957343528212003,0.07069720915705516,0.08461492812765971,0.28549804188792843,0.07501240397163128,0.22579619457926128,18,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,greedy
0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,beam
0.1387166186000989,0.08609722522523237,0.09313895993791026,0.08660633765498504,0.3204573617150472,0.10148322994909692,0.22876202887325398,21,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,greedy
0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,beam
0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,greedy
0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,beam
0.0,0.0,0.0,0.0,0.0,0.0,0.0,24,greedy
0.0,0.0,0.0,0.0,0.0,0.0,0.0,24,beam
0.11443991034706495,0.13991524770874486,0.1651766995330734,0.878607694220707,0.5868576691840007,0.12201778452507872,0.39537433611196504,34,
0.27107326903047424,0.36237058414380857,0.3730354888744217,1.0761075172674814,1.115153036751293,0.2540593463654815,0.7033148866865881,36,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,39,greedy
0.0,0.0,0.0,0.0,0.0,0.0,0.0,39,beam
0.0,0.0,0.0,0.0,0.0,0.0,0.0,40,greedy
0.0,0.0,0.0,0.0,0.0,0.0,0.0,40,beam
0.207745093683483,0.2025987300647211,0.25399419759604275,0.5096522349742624,0.5820747045085888,0.20475302401330564,0.465775596801271,42,
0.207745093683483,0.2025987300647211,0.25399419759604275,0.5096522349742624,0.5820747045085888,0.20475302401330564,0.465775596801271,43,
0.11443991034706495,0.13991524770874486,0.1651766995330734,0.878607694220707,0.5868576691840007,0.12201778452507872,0.39537433611196504,47,
0.207745093683483,0.2025987300647211,0.25399419759604275,0.5096522349742624,0.5820747045085888,0.20475302401330564,0.465775596801271,50,
0.11443991034706495,0.13991524770874486,0.1651766995330734,0.878607694220707,0.5868576691840007,0.12201778452507872,0.39537433611196504,57,
0.1751665173933332,0.08351271518435131,0.28388671664760945,0.20802920444695938,0.3180123170752508,0.2588323307861577,0.3204558798598142,58,
0.27107326903047424,0.36237058414380857,0.3730354888744217,1.0761075172674814,1.115153036751293,0.2540593463654815,0.7033148866865881,59,
0.207745093683483,0.2025987300647211,0.25399419759604275,0.5096522349742624,0.5820747045085888,0.20475302401330564,0.465775596801271,61,
0.0,0.3957507230058136,0.0,0.9124748105507493,0.0,0.0,0.0,64,
0.27107326903047424,0.36237058414380857,0.3730354888744217,1.0761075172674814,1.115153036751293,0.2540593463654815,0.7033148866865881,68,
0.207745093683483,0.2025987300647211,0.25399419759604275,0.5096522349742624,0.5820747045085888,0.20475302401330564,0.465775596801271,70,
3.602710344272412,4.385500835193735,3.600856335041039,0.0,0.0,2.953774329268434,0.0,45,
3.602710344272412,4.385500835193735,3.600856335041039,0.0,0.0,2.953774329268434,0.0,63,
0.0,0.3464298674741475,0.0,0.6716425757868261,0.0,0.0,0.0,71,
0.1646408904359666,0.15268876170733925,0.19417834593394176,0.8121510555891622,0.6300657619508245,0.16508029692629644,0.4503730291018857,74,
0.40227386952169203,0.4255541487583313,0.4071623819636554,0.6682306197472083,0.838759776422839,0.28417219774546565,0.6616149527034381,76,
0.15278851843719374,0.1821408331855089,0.20873330330729356,0.4326842865300969,0.4627126028112507,0.17147491434567003,0.3940927633025355,78,
0.2652427164752053,0.2065792038958898,0.38049940488952483,0.7306048041884484,0.6266460542391041,0.24671854601396803,0.5283703160743278,77,
0.2584346951588773,0.20914328104949162,0.4042471643099447,0.9764049925838878,0.9264225345448464,0.3069127088874374,0.7335089825204624,80,
