random_random-50-90-100-42,random_random-50-50-100-42,random_random-50-30-100-42,random_outer-50-90-100-42,random_outer-50-50-100-42,random_outer-50-30-100-42,random_centre-50-90-100-42,random_centre-50-50-100-42,random_centre-50-30-100-42,cluster_random-50-90-100-42,cluster_random-50-50-100-42,cluster_random-50-30-100-42,cluster_outer-50-90-100-42,cluster_outer-50-50-100-42,cluster_outer-50-30-100-42,cluster_centre-50-90-100-42,cluster_centre-50-50-100-42,cluster_centre-50-30-100-42,id,notes,date,time,seed,problem,task,training,method,testing,device,init_method,improve_method,customers,decode
30.614928676651143,18.9547380992515,12.681626987079223,37.23212462670633,22.269601418588508,14.750845722272125,23.51794243745912,14.918106707443696,10.550555964596263,27.78396323511934,16.4039936729482,11.4904311149534,37.20233143796956,20.54867700166895,13.661481445690232,21.605588880315945,12.926492554572356,9.203400754489008,2,,2024-05-03,1595.1041457653,1.0,CVRP,,,ortools,"['A', 'B', 'E', 'F', 'M', 'P', 'CMT', 'generate']",0.0,cheapest_arc,,,
30.75794152272129,19.290787395472595,12.85458296714314,37.28910651602694,22.49538849342312,14.901751863644716,23.76381595162933,15.003867841342617,10.838427012166251,27.81773981624588,16.47007372341223,11.479185461742782,37.29219700410617,20.747735701657174,13.82618151014851,21.643262792791766,12.971138860284473,9.230765387182387,5,,2024-05-06,1569.73507356644,1.0,CVRP,,,ortools,"['A', 'B', 'E', 'F', 'M', 'P', 'CMT', 'generate']",0.0,christofides,,,
30.727673613078665,19.00544504504968,13.248230319590672,37.447455783381045,22.43559046935193,15.31055463829238,23.541930999594346,15.129509499936304,11.070860668049304,27.91841600970189,16.308047333505968,11.655808333899293,37.55980565002872,20.558009909170423,13.871412530533894,21.74515858532264,13.041156285907215,9.475046850080291,6,,2024-05-06,1800.33872032166,1.0,CVRP,,,ortools,"['A', 'B', 'E', 'F', 'M', 'P', 'CMT', 'generate']",0.0,local_cheapest_insert,,,
32.89847890526249,19.762381260913912,13.137339797527012,39.61873953210109,23.074795542274305,15.211026890753072,26.06412291440192,15.540206538424489,10.96099021495733,30.68109669474148,17.577471427867632,12.277871776694864,40.03123130956218,21.66792395730501,14.474127066225256,24.445483974741663,14.089694034071703,10.077116199446788,34,,2024-05-29,35291.4395415783,1.0,CVRP,,old,rl4co,"['A', 'B', 'E', 'F', 'M', 'P', 'CMT', 'generate']",0.0,am,,10.0,
33.96165708081912,21.53979649771412,14.97121586068488,41.05721900197601,25.667710623899097,18.136630950474125,26.381187819975672,17.18943538380629,12.513092934575612,31.170430593832688,19.19824792222506,14.795496868848613,41.769930976270416,24.79331201078569,17.15780187850848,24.03402415796134,14.908816902890743,11.009120320496915,36,,2024-06-03,39833.2113745213,1.0,CVRP,,old,rl4co,"['A', 'B', 'E', 'F', 'M', 'P', 'CMT', 'generate']",0.0,amppo,,10.0,
33.82912478114876,21.010712671816176,14.159280901473709,41.00759423746942,24.56962450020321,16.592050703378863,26.190485924728208,16.309431195575897,11.688479305269617,30.65268830728464,18.100658775803726,12.9617605924087,41.112907175272376,22.781198532442936,15.560977569440697,24.07926320138968,14.434317533163895,10.465045023011667,42,,2024-06-12,38108.5451898575,1.0,CVRP,,old,rl4co,"['A', 'B', 'E', 'F', 'M', 'P', 'CMT', 'generate']",0.0,symnco,,10.0,
33.82912478114876,21.010712671816176,14.159280901473709,41.00759423746942,24.56962450020321,16.592050703378863,26.190485924728208,16.309431195575897,11.688479305269617,30.65268830728464,18.100658775803726,12.9617605924087,41.112907175272376,22.781198532442936,15.560977569440697,24.07926320138968,14.434317533163895,10.465045023011667,43,,2024-06-14,37982.2972157002,1.0,CVRP,,Old,rl4co,"['A', 'B', 'E', 'F', 'M', 'P', 'CMT', 'generate']",0.0,symnco,,10.0,
32.89847890526249,19.762381260913912,13.137339797527012,39.61873953210109,23.074795542274305,15.211026890753072,26.06412291440192,15.540206538424489,10.96099021495733,30.68109669474148,17.577471427867632,12.277871776694864,40.03123130956218,21.66792395730501,14.474127066225256,24.445483974741663,14.089694034071703,10.077116199446788,47,,2024-06-19,34931.1149029732,1.0,CVRP,,old,rl4co,"['A', 'B', 'E', 'F', 'M', 'P', 'CMT', 'generate']",0.0,am,,25.0,
33.82912478114876,21.010712671816176,14.159280901473709,41.00759423746942,24.56962450020321,16.592050703378863,26.190485924728208,16.309431195575897,11.688479305269617,30.65268830728464,18.100658775803726,12.9617605924087,41.112907175272376,22.781198532442936,15.560977569440697,24.07926320138968,14.434317533163895,10.465045023011667,50,,2024-06-20,38515.3663384914,1.0,CVRP,,old,rl4co,"['A', 'B', 'E', 'F', 'M', 'P', 'CMT', 'generate']",0.0,symnco,,50.0,
32.89847890526249,19.762381260913912,13.137339797527012,39.61873953210109,23.074795542274305,15.211026890753072,26.06412291440192,15.540206538424489,10.96099021495733,30.68109669474148,17.577471427867632,12.277871776694864,40.03123130956218,21.66792395730501,14.474127066225256,24.445483974741663,14.089694034071703,10.077116199446788,57,,2024-06-29,35372.3700363636,1.0,CVRP,,old,rl4co,"['A', 'B', 'E', 'F', 'M', 'P', 'CMT', 'generate']",0.0,am,,100.0,
